ID,name,practice,postcode
1,Dr Sarah Hussain,The Limes Medical Centre,E17 7JN
2,Dr Michael Evans,City Health Surgery,CB1 3DF
3,Dr Priya Patel,West End Practice,SE5 8AZ
4,Dr James O'Connor,St Mary's Group,N4 2JJ
5,Dr Louise Edwards,Oak Tree Surgery,E1 5AW
6,Dr Andrew Chan,Riverside Medical Practice,CB4 2NF
7,Dr Fatima Begum,Green Lane Surgery,E13 8SL
8,Dr Oliver Wright,Eastfield Health Centre,CB2 1PH
9,Dr Emily Brown,Cambridge Road Surgery,E10 7HQ
10,Dr Daniel Walker,Chadwell Health Practice,E18 1AB
